id,date_of_last_activity,avatar,number_of_messages_sent
uid-2574738995880809446,2015-02-06,true,0
uid-2574738995880809447,2015-01-11,false,0
uid-2574738995880809448,,false,0
uid-2574738995880809449,2015-02-06,false,0
uid-2574738995880809450,2015-01-12,false,0
uid-2574738995880809451,2015-01-22,true,0
uid-2574738995880809452,2015-01-12,false,0
uid-2574738995880809453,2015-01-12,false,0
uid-2574738995880809454,2015-01-24,false,1
uid-2574738995880809455,2015-01-13,false,0
uid-2580883804431195043,2014-12-31,false,0
uid-2597541166157267214,2014-09-19,false,0
uid-2599900644101122086,,false,0
uid-2618424882935405229,2014-11-10,false,0
uid-2633398415431616793,2014-09-24,false,0
uid-2642504811511040521,2015-02-01,false,0
uid-2661844805740757640,,false,0
uid-2713012939311775302,,false,0
uid-2739738947337355359,2014-06-28,false,1
uid-2798357177036492520,2015-02-05,true,8
uid-2812161522626684373,2015-01-15,false,0
uid-2812161522626684374,2015-01-07,false,0
uid-2812161522626684375,2014-12-29,false,0
uid-2812161522626684376,2014-12-26,false,0
uid-2812161522626684377,2014-12-26,false,0
uid-2812161522626684378,2014-12-28,false,0
uid-2812161522626684379,2014-12-27,false,0
uid-2812161522626684380,2014-12-26,false,0
uid-2812161522626684381,2014-12-26,false,0
uid-2812161522626684382,2015-01-02,false,0
uid-2812161522626684383,2015-01-02,false,0
uid-2812161522626684384,2015-01-28,false,0
uid-2812161522626684385,2015-02-06,false,0
uid-2812161522626684386,2014-12-28,false,0
uid-2812161522626684387,2015-01-02,false,0
uid-2812161522626684388,2015-01-14,false,0
uid-2812161522626684389,,false,0
uid-2812161522626684390,2015-02-06,false,0
uid-2812161522626684391,2015-02-03,false,0
uid-2849812016036985153,2014-07-30,false,0
uid-2851228416444667030,,false,0
uid-2897592466106669518,,false,0
uid-2907186228649089358,,false,0
uid-2907186228649089359,2015-01-21,true,1
uid-2907186228649089360,2015-01-22,false,0
uid-2907186228649089361,2015-01-27,false,0
uid-2907186228649089362,2015-02-06,false,0
uid-2907186228649089363,2015-02-03,false,1
uid-2907186228649089364,2015-01-26,false,0
uid-2907186228649089365,2015-01-21,false,0
uid-2949346960140345930,2015-02-05,false,0
uid-2949346960140345931,2015-02-05,false,0
uid-2949346960140345932,2014-12-22,false,0
uid-2949346960140345933,2014-12-22,false,0
uid-2949346960140345934,2014-12-23,false,0
uid-2949346960140345935,2014-12-23,false,0
uid-2949346960140345936,2015-02-02,false,0
uid-2949346960140345937,2014-12-23,false,0
uid-2952284496566719959,,false,0
